,동,인구 수,생활보호대상자 비율
0,면목2동,0.41926897099721905,0.5247619786781801
1,면목4동,0.18311481922924122,0.782754785591266
2,면목5동,0.0,0.26000717134217943
3,면목7동,0.31994437822804933,0.23216679129533013
4,상봉1동,0.4072705601907033,0.4626560512678538
5,상봉2동,0.2206197854588796,0.25958075947797665
6,중화1동,0.22800953516090583,0.21408859711973727
7,중화2동,0.4533969010727057,0.8882593280405096
8,묵1동,0.8314263011521652,0.0
9,묵2동,0.1990862137465237,0.28425055473049976
10,망우3동,0.11311084624553047,1.0
11,신내1동,1.0,0.2432184321274936
12,신내2동,0.2638458482320223,0.5090636799866999
13,면목본동,0.8249106078665078,0.5419261629804288
14,면목3.8동,0.4502979737783075,0.5502056384367251
15,망우본동,0.6405641636869288,0.6032422556918036
